mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2025-03-01,ENEL COLOMBIA SA ESP,4.5865768793308375e-05,4.5865768793308375e-05,0,7943587.080628409,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.5991782207069875e-05,4.5991782207069875e-05,0,7307462.6136219045,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.249270970208893e-05,4.249270970208893e-05,0,7257448.286386435,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.6376665467893604e-05,4.6376665467893604e-05,0,7060109.974195925,0.03,f,0.025
,2026-08-01,ENEL COLOMBIA SA ESP,4.6020864297655455e-05,4.6020864297655455e-05,0,7045947.90314357,0.03,f,0.025
,2024-09-01,ENEL COLOMBIA SA ESP,4.656979139227446e-05,4.656979139227446e-05,0,6992772.045838652,0.03,f,0.025
,2026-05-01,ENEL COLOMBIA SA ESP,4.7986753514232236e-05,4.7986753514232236e-05,0,6794405.969470434,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.346381048474099e-05,4.346381048474099e-05,0,6794231.01565469,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.9922586589051374e-05,4.9922586589051374e-05,0,6783642.032410778,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.3814904437618024e-05,4.3814904437618024e-05,0,6760207.959097921,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.911382003498753e-05,4.911382003498753e-05,0,6726550.14248497,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.893851808979155e-05,4.893851808979155e-05,0,6687352.326782115,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.50960455470631e-05,4.50960455470631e-05,0,6676695.178043677,0.03,f,0.025
,2026-07-01,ENEL COLOMBIA SA ESP,4.92083760578208e-05,4.92083760578208e-05,0,6660305.970802093,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.596713270381504e-05,4.596713270381504e-05,0,6567965.424195181,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.8908645041889206e-05,4.8908645041889206e-05,0,6546196.618554534,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.863582457096755e-05,4.863582457096755e-05,0,6508780.503389224,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.805406693787087e-05,4.805406693787087e-05,0,6404365.627472175,0.03,f,0.025
,2026-06-01,ENEL COLOMBIA SA ESP,4.559010899212372e-05,4.559010899212372e-05,0,6380955.752281495,0.03,f,0.025
,2026-02-01,ENEL COLOMBIA SA ESP,4.8021977450907357e-05,4.8021977450907357e-05,0,6372297.135134838,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.658983207712181e-05,4.658983207712181e-05,0,6333588.826098676,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.8038429835563115e-05,4.8038429835563115e-05,0,6307634.321276994,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.727603112035572e-05,4.727603112035572e-05,0,6306467.424342995,0.03,f,0.025
,2025-09-01,ENEL COLOMBIA SA ESP,5.007257812045091e-05,5.007257812045091e-05,0,6276175.317342431,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.277764428384326e-05,4.277764428384326e-05,0,6178842.932191249,0.03,f,0.025
