mercado_code,mes,agente_code,rol_pui,ventas_reg_kwh,pui_agente_mes,egreso_giro_cior,recaudo_real_agente,total_giros_cnior_mes,param_rcpui,param_pct_ae,param_factor_recaudo,param_competitivo,param_cfpui,mercado_name,agente_name,ingresos_pui_facturado,flujo_neto_caja_pui,pct_perdida_sobre_giro_cnior,pct_apalancamiento_cior
ANTIOQUIA,2024-03-01,EEPC,CNIOR,59224248.83000005,82.87986228954885,102.04770137215296,93.88388526238072,48053.316616614844,0.03,0.10,0.92,f,0.025,,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,82.87986228954885,-8.163816109772242,-8.000000000000004,
ANTIOQUIA,2024-03-01,EBSC,CNIOR,78546571.39000005,109.9199930556454,135.34147278121267,124.51415495871565,48053.316616614844,0.03,0.10,0.92,f,0.025,,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,109.9199930556454,-10.827317822497022,-8.000000000000005,
ANTIOQUIA,2024-03-01,CETC,CNIOR,15794851.679999983,22.10370174351854,27.21568174017287,25.03842720095904,48053.316616614844,0.03,0.10,0.92,f,0.025,,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,22.10370174351854,-2.1772545392138305,-8.000000000000004,
ANTIOQUIA,2024-03-01,CEOC,CNIOR,58812627.54000002,82.30382938909663,101.33844786011743,93.23137203130803,48053.316616614844,0.03,0.10,0.92,f,0.025,,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,82.30382938909663,-8.1070758288094,-8.000000000000005,
ANTIOQUIA,2024-03-01,TPLC,CNIOR,844955.8799999993,1.18245192397731,1.455920624040181,1.3394469741169666,48053.316616614844,0.03,0.10,0.92,f,0.025,,TERPEL ENERGÍA S.A.S. E.S.P.,1.18245192397731,-0.1164736499232144,-7.999999999999995,
ANTIOQUIA,2024-03-01,EPMC,CNIOR,665226090.3700004,930.933660628424,1146.2330845242493,1054.5344377623094,48053.316616614844,0.03,0.10,0.92,f,0.025,,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,930.933660628424,-91.69864676193993,-7.999999999999999,
ANTIOQUIA,2024-03-01,EMEC,CNIOR,1253696.9000000006,1.7544541041472972,2.1602112207388187,1.9873943230797133,48053.316616614844,0.03,0.10,0.92,f,0.025,,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,1.7544541041472972,-0.17281689765910535,-7.999999999999993,
ANTIOQUIA,2024-03-01,TENC,CNIOR,5578224.399999997,7.806303654762633,9.611687594249497,8.842752586709537,48053.316616614844,0.03,0.10,0.92,f,0.025,,TRANSACCIONES ENERGÉTICAS S.A.S. EMPRESA DE SERVICIOS PÚBLICOS E.S.P,7.806303654762633,-0.7689350075399606,-8.000000000000009,
ANTIOQUIA,2024-03-01,ETTC,CNIOR,24218641.629999984,33.892159424360095,41.73048637208739,38.3920474623204,48053.316616614844,0.03,0.10,0.92,f,0.025,,ENERTOTAL S.A. E.S.P.,33.892159424360095,-3.3384389097669924,-8.000000000000004,
ANTIOQUIA,2024-03-01,ESSC,CNIOR,220904055.97000003,309.13853868455016,380.63380424176677,350.18309990242545,48053.316616614844,0.03,0.10,0.92,f,0.025,,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,309.13853868455016,-30.450704339341314,-7.999999999999993,
ANTIOQUIA,2024-03-01,CASC,CNIOR,49885593.030000046,69.81111896288915,85.95651613768547,79.07999484667063,48053.316616614844,0.03,0.10,0.92,f,0.025,,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,69.81111896288915,-6.876521291014839,-8.000000000000002,
